timestamp,ticker,title,spread,yes_bid,yes_ask,no_bid,no_ask,volume,volume_24h,last_price,status,close_time,event_ticker
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025F34BFE7A570-7C6A3457AC1,"yes Atlanta,yes Chicago,yes Cincinnati,yes Philadelphia,yes Los Angeles C,yes Tampa Bay,yes Miami",100,,100,,100,1538,1538,,active,2025-11-30 18:00:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025F34BFE7A570
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025BD9763EA5C3-2C4A9202699,"yes New England wins by over 10.5 points,yes Baltimore wins by over 7.5 points,yes Pittsburgh wins by over 6.5 points,yes Philadelphia wins by over 3.5 points,yes Green Bay wins by over 7.5 points,yes Kansas City wins by over 3.5 points,yes Dallas wins by over 6.5 points,yes Over 43.5 points scored",100,,100,,100,5444,5444,,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025BD9763EA5C3
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025BF2EAD62A98-A3FA5E12AE2,"yes New England,yes Los Angeles C,yes Los Angeles R,yes Dallas,yes Over 47.5 points scored,yes Over 43.5 points scored,yes Over 48.5 points scored,yes Over 47.5 points scored,no Over 50.5 points scored",100,,100,,100,1775,1775,1,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025BF2EAD62A98
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025C5FD37FDEAB-A08F8F823DB,"yes New England,yes Baltimore,yes Minnesota,yes Detroit,yes Green Bay,yes Houston,yes Kansas City,yes Los Angeles C,yes San Francisco,yes Buffalo,yes Miami,yes Dallas",100,,100,,100,5813,5813,,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025C5FD37FDEAB
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025F8B3CA688FA-70C3D663B32,"yes New England,yes Cincinnati,yes Detroit,yes Los Angeles C",100,,100,,100,1203,1203,7,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025F8B3CA688FA
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S202521E267F7DBC-57E7E3DA527,"yes Baltimore,yes Kansas City,yes Buffalo,yes Dallas,yes New England wins by over 6.5 points,yes Green Bay wins by over 6.5 points,yes Houston wins by over 2.5 points,yes Los Angeles C wins by over 2.5 points,yes San Francisco wins by over 2.5 points,yes Miami wins by over 2.5 points",100,,100,,100,1364,1364,1,active,2025-11-30 21:25:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S202521E267F7DBC
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025BFAAF698B8D-C9F466A1C3E,"yes New England,yes Chicago,yes Cincinnati,yes Detroit,yes Los Angeles C",100,,100,,100,1461,1461,3,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025BFAAF698B8D
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S20254BDCDDD7F11-81BDD0D2869,"yes Chicago,yes Cincinnati,yes Detroit,yes Denver,yes Los Angeles C,yes Seattle,yes Tampa Bay",100,,100,,100,1851,1851,,active,2025-11-30 18:00:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S20254BDCDDD7F11
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S20256F571D0D813-9755542B3CB,"yes New England,yes Baltimore,yes Atlanta,yes Minnesota,yes Pittsburgh,yes Green Bay,yes Houston,yes Kansas City,yes Los Angeles C,yes Los Angeles R,yes San Francisco,yes Buffalo,yes Miami,yes Dallas,no Detroit wins by over 7.5 points",100,,100,,100,9551,9551,,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S20256F571D0D813
2025-11-12T16:10:29.829514,KXMVENFLMULTIGAMEEXTENDED-S2025E503F48DA46-2B95F513249,"yes New England,yes Baltimore,yes Chicago,yes Pittsburgh,yes Detroit,yes Green Bay,yes Houston,yes Jacksonville,yes Seattle,yes San Francisco,yes Dallas,no Kansas City wins by over 3.5 points,no Buffalo wins by over 6.5 points,yes Over 42.5 points scored",100,,100,,100,1481,1481,,active,2025-11-28 01:15:00+00:00,KXMVENFLMULTIGAMEEXTENDED-S2025E503F48DA46
